,codigo_ocorrencia,codigo_ocorrencia1,codigo_ocorrencia2,codigo_ocorrencia3,codigo_ocorrencia4,ocorrencia_classificacao,ocorrencia_latitude,ocorrencia_longitude,ocorrencia_cidade,ocorrencia_uf,ocorrencia_pais,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_hora,investigacao_aeronave_liberada,investigacao_status,divulgacao_relatorio_numero,divulgacao_relatorio_publicado,divulgacao_dia_publicacao,total_recomendacoes,total_aeronaves_envolvidas,ocorrencia_saida_pista,ocorrencia_dia_raw,ocorrencia_mes,ocorrencia_ano,ocorrencia_hora_raw,ano_mes
13,81730,81730,81730,81730,81730,INCIDENTE,-2.586944444,-44.23611111,SÃO LUÍS,MA,BRASIL,SBSL,25,18,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,6/25/2023 0:00,6,2023,1/1/1900 18:48,2023-06
14,81729,81729,81729,81729,81729,INCIDENTE,-3.775833333,-38.53222222,FORTALEZA,CE,BRASIL,SBFZ,19,23,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,6/19/2023 0:00,6,2023,1/1/1900 23:19,2023-06
15,81727,81727,81727,81727,81727,ACIDENTE,-29.19111111,-54.55916667,SANTIAGO,RS,BRASIL,***,19,11,NÃO,ATIVA,A-105/CENIPA/2023,NÃO,,0,1,NÃO,6/19/2023 0:00,6,2023,1/1/1900 11:10,2023-06
16,81726,81726,81726,81726,81726,INCIDENTE,-2.424722222,-54.78583333,SANTARÉM,PA,BRASIL,SBSN,17,13,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,6/17/2023 0:00,6,2023,1/1/1900 13:30,2023-06
17,81725,81725,81725,81725,81725,ACIDENTE,-10.18277778,-48.54527778,PORTO NACIONAL,TO,BRASIL,SWEJ,18,20,SIM,ATIVA,A-104/CENIPA/2023,NÃO,,0,1,SIM,6/18/2023 0:00,6,2023,1/1/1900 20:00,2023-06
18,81724,81724,81724,81724,81724,ACIDENTE,-10.7019786,-48.4110952,PORTO NACIONAL,TO,BRASIL,***,16,14,NÃO,ATIVA,A-103/CENIPA/2023,NÃO,,0,1,NÃO,6/16/2023 0:00,6,2023,1/1/1900 14:00,2023-06
19,81723,81723,81723,81723,81723,INCIDENTE,-22.74361111,-55.23305556,LAGUNA CARAPÃ,MS,BRASIL,SD8A,19,14,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,6/19/2023 0:00,6,2023,1/1/1900 14:45,2023-06
20,81721,81721,81721,81721,81721,INCIDENTE,-21.13638889,-47.77666667,RIBEIRÃO PRETO,SP,BRASIL,SBRP,19,19,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,6/19/2023 0:00,6,2023,1/1/1900 19:45,2023-06
21,81720,81720,81720,81720,81720,INCIDENTE,-23.50666667,-46.63388889,SÃO PAULO,SP,BRASIL,SBMT,19,17,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,6/19/2023 0:00,6,2023,1/1/1900 17:26,2023-06
22,81719,81719,81719,81719,81719,INCIDENTE,-3.10719,-60.0261,MANAUS,AM,BRASIL,SBEG,19,19,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,5/19/2023 0:00,5,2023,1/1/1900 19:08,2023-05
23,81718,81718,81718,81718,81718,ACIDENTE,-16.42,-47.31972222,UNAÍ,MG,BRASIL,***,14,11,SIM,ATIVA,A-102/CENIPA/2023,NÃO,,0,1,NÃO,6/14/2023 0:00,6,2023,1/1/1900 11:20,2023-06
24,81717,81717,81717,81717,81717,INCIDENTE,-19.62444444,-43.97194444,CONFINS,MG,BRASIL,SBCF,10,11,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,6/10/2023 0:00,6,2023,1/1/1900 11:44,2023-06
25,81715,81715,81715,81715,81715,INCIDENTE,-23.43555556,-46.47305556,GUARULHOS,SP,BRASIL,SBGR,16,17,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,6/16/2023 0:00,6,2023,1/1/1900 17:04,2023-06
26,81713,81713,81713,81713,81713,INCIDENTE,3.025,-60.75138889,BOA VISTA,RR,BRASIL,***,15,13,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,6/15/2023 0:00,6,2023,1/1/1900 13:10,2023-06
27,81712,81712,81712,81712,81712,INCIDENTE GRAVE,-17.03833333,-53.30805556,ALTO ARAGUAIA,MT,BRASIL,****,13,15,SIM,ATIVA,IG-101/CENIPA/2023,NÃO,,0,1,SIM,6/13/2023 0:00,6,2023,1/1/1900 15:30,2023-06
28,81711,81711,81711,81711,81711,INCIDENTE GRAVE,-22.28888889,-45.91944444,POUSO ALEGRE,MG,BRASIL,SNZA,15,13,SIM,FINALIZADA,***,NÃO,,0,1,SIM,6/15/2023 0:00,6,2023,1/1/1900 13:10,2023-06
29,81710,81710,81710,81710,81710,ACIDENTE,-30.00166667,-56.80861111,URUGUAIANA,RS,BRASIL,APUA,9,11,SIM,ATIVA,A-098/CENIPA/2023,NÃO,,0,1,SIM,6/9/2023 0:00,6,2023,1/1/1900 11:45,2023-06
30,81709,81709,81709,81709,81709,INCIDENTE,2.765,-62.22138889,ALTO ALEGRE,RR,BRASIL,SJYG,3,21,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,6/3/2023 0:00,6,2023,1/1/1900 21:30,2023-06
31,81708,81708,81708,81708,81708,INCIDENTE,-19.85194444,-43.95055556,BELO HORIZONTE,MG,BRASIL,SBBH,9,12,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,6/9/2023 0:00,6,2023,1/1/1900 12:00,2023-06
32,81707,81707,81707,81707,81707,ACIDENTE,-23.59527778,-46.45138889,SÃO PAULO,SP,BRASIL,***,1,12,SIM,ATIVA,A-093/CENIPA/2023,NÃO,,0,1,NÃO,6/1/2023 0:00,6,2023,1/1/1900 12:24,2023-06
33,81706,81706,81706,81706,81706,ACIDENTE,-5.071666667,-42.81666667,TERESINA,PI,BRASIL,SBTE,12,15,SIM,ATIVA,A-100/CENIPA/2023,NÃO,,0,1,NÃO,6/12/2023 0:00,6,2023,1/1/1900 15:33,2023-06
34,81705,81705,81705,81705,81705,ACIDENTE,-5.036666667,-42.83611111,TERESINA,PI,BRASIL,SBTE,11,14,SIM,ATIVA,A-099/CENIPA/2023,NÃO,,0,1,NÃO,6/11/2023 0:00,6,2023,1/1/1900 14:10,2023-06
35,81704,81704,81704,81704,81704,INCIDENTE,-19.85194444,-43.95055556,BELO HORIZONTE,MG,BRASIL,SBBH,5,11,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,6/5/2023 0:00,6,2023,1/1/1900 11:15,2023-06
36,81701,81701,81701,81701,81701,INCIDENTE,-21.13638889,-47.77666667,RIBEIRÃO PRETO,SP,BRASIL,SBRP,6,11,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,6/6/2023 0:00,6,2023,1/1/1900 11:26,2023-06
37,81700,81700,81700,81700,81700,INCIDENTE,-18.89611111,-41.98333333,GOVERNADOR VALADARES,MG,BRASIL,SBGV,3,12,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,6/3/2023 0:00,6,2023,1/1/1900 12:08,2023-06
38,81699,81699,81699,81699,81699,INCIDENTE,2.3377777777777995,-62.89055556,IRACEMA,RR,BRASIL,***,9,14,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,6/9/2023 0:00,6,2023,1/1/1900 14:55,2023-06
39,81697,81697,81697,81697,81697,ACIDENTE,-7.645,-63.08833333,HUMAITÁ,AM,BRASIL,***,5,12,SIM,ATIVA,A-096/CENIPA/2023,NÃO,,0,1,NÃO,6/5/2023 0:00,6,2023,1/1/1900 12:30,2023-06
40,81696,81696,81696,81696,81696,ACIDENTE,-15.10305556,-53.36305556,NOVO SÃO JOAQUIM,MT,BRASIL,***,3,11,SIM,ATIVA,A-095/CENIPA/2023,NÃO,,0,1,NÃO,6/3/2023 0:00,6,2023,1/1/1900 11:50,2023-06
41,81694,81694,81694,81694,81694,INCIDENTE,-15.87111111,-47.91861111,BRASÍLIA,DF,BRASIL,SBBR,31,20,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,5/31/2023 0:00,5,2023,1/1/1900 20:25,2023-05
42,81693,81693,81693,81693,81693,INCIDENTE,-5.060555556,-42.82444444,TERESINA,PI,BRASIL,SBTE,4,22,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,6/4/2023 0:00,6,2023,1/1/1900 22:32,2023-06
43,81692,81692,81692,81692,81692,ACIDENTE,-16.42638889,-47.87444444,LUZIÂNIA,GO,BRASIL,***,3,11,SIM,ATIVA,A-094/CENIPA/2023,NÃO,,0,1,NÃO,6/3/2023 0:00,6,2023,1/1/1900 11:00,2023-06
44,81691,81691,81691,81691,81691,ACIDENTE,-27.008056,-51.152222,VIDEIRA,SC,BRASIL,SSVI,5,17,SIM,ATIVA,A-097/CENIPA/2023,NÃO,,0,1,NÃO,6/5/2023 0:00,6,2023,1/1/1900 17:53,2023-06
45,81690,81690,81690,81690,81690,INCIDENTE,-22.81,-43.25055556,RIO DE JANEIRO,RJ,BRASIL,SBGL,14,9,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,5/14/2023 0:00,5,2023,1/1/1900 9:35,2023-05
46,81689,81689,81689,81689,81689,INCIDENTE,-22.9875,-43.37,RIO DE JANEIRO,RJ,BRASIL,SBJR,2,10,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,6/2/2023 0:00,6,2023,1/1/1900 10:05,2023-06
47,81688,81688,81688,81688,81688,INCIDENTE GRAVE,-10.60083333,-46.66833333,MATEIROS,TO,BRASIL,***,28,12,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,5/28/2023 0:00,5,2023,1/1/1900 12:30,2023-05
48,81686,81686,81686,81686,81686,INCIDENTE GRAVE,-12.20055556,-38.90638889,FEIRA DE SANTANA,BA,BRASIL,****,30,14,SIM,FINALIZADA,***,NÃO,,0,1,SIM,5/30/2023 0:00,5,2023,1/1/1900 14:00,2023-05
49,81685,81685,81685,81685,81685,ACIDENTE,-23.12833333,-46.57472222,ATIBAIA,SP,BRASIL,SDTB,30,16,SIM,ATIVA,A-092/CENIPA/2023,NÃO,,0,1,NÃO,5/30/2023 0:00,5,2023,1/1/1900 16:00,2023-05
50,81684,81684,81684,81684,81684,ACIDENTE,-5.287222222,-48.61111111,SÃO PEDRO DA ÁGUA BRANCA,MA,BRASIL,***,29,21,NÃO,ATIVA,A-091/CENIPA/2023,NÃO,,0,1,NÃO,5/29/2023 0:00,5,2023,1/1/1900 21:15,2023-05
51,81681,81681,81681,81681,81681,INCIDENTE,-22.91805556,-42.82888889,MARICÁ,RJ,BRASIL,SBMI,29,1,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,5/29/2023 0:00,5,2023,1/1/1900 1:59,2023-05
52,81680,81680,81680,81680,81680,INCIDENTE,-15.87111111,-47.91861111,BRASÍLIA,DF,BRASIL,SBBR,28,13,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,5/28/2023 0:00,5,2023,1/1/1900 13:33,2023-05
53,81679,81679,81679,81679,81679,ACIDENTE,-18.6475,-50.55444444,QUIRINÓPOLIS,GO,BRASIL,SJQN,25,14,NÃO,ATIVA,A-089/CENIPA/2023,NÃO,,0,1,NÃO,5/25/2023 0:00,5,2023,1/1/1900 14:40,2023-05
54,81678,81678,81678,81678,81678,INCIDENTE GRAVE,-15.93722222,-47.72722222,BRASÍLIA,DF,BRASIL,SIQE,26,20,SIM,ATIVA,IG-090/CENIPA/2023,NÃO,,0,1,NÃO,5/26/2023 0:00,5,2023,1/1/1900 20:40,2023-05
55,81673,81673,81673,81673,81673,ACIDENTE,-14.71305556,-45.52416667,COCOS,BA,BRASIL,APUA,23,19,SIM,ATIVA,A-088/CENIPA/2023,NÃO,,0,1,NÃO,5/23/2023 0:00,5,2023,1/1/1900 19:40,2023-05
56,81672,81672,81672,81672,81672,INCIDENTE,-22.71055556,-47.61944444,PIRACICABA,SP,BRASIL,***,23,17,SIM,ATIVA,A DEFINIR,NÃO,,0,2,NÃO,5/23/2023 0:00,5,2023,1/1/1900 17:35,2023-05
57,81671,81671,81671,81671,81671,INCIDENTE,-23.00694444,-47.13444444,CAMPINAS,SP,BRASIL,SBKP,12,14,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,5/12/2023 0:00,5,2023,1/1/1900 14:22,2023-05
58,81653,81653,81653,81653,81653,ACIDENTE,-25.44333333,-49.58527778,CAMPO LARGO,PR,BRASIL,***,21,12,SIM,ATIVA,A-086/CENIPA/2023,NÃO,,0,1,NÃO,5/21/2023 0:00,5,2023,1/1/1900 12:15,2023-05
59,81649,81649,81649,81649,81649,ACIDENTE,-1.861666667,-44.87111111,CURURUPU,MA,BRASIL,SD8H,21,11,SIM,ATIVA,A-087/CENIPA/2023,NÃO,,0,1,SIM,5/21/2023 0:00,5,2023,1/1/1900 11:10,2023-05
60,81633,81633,81633,81633,81633,ACIDENTE,-23.5697765,-46.0407456,BIRITIBA-MIRIM,SP,BRASIL,SDIH,11,20,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,7/11/2020 0:00,7,2020,1/1/1900 20:15,2020-07
61,81624,81624,81624,81624,81624,ACIDENTE,-13.61555556,-52.22444444,CANARANA,MT,BRASIL,***,18,11,SIM,ATIVA,A-085/CENIPA/2023,NÃO,,0,1,NÃO,5/18/2023 0:00,5,2023,1/1/1900 11:25,2023-05
62,81623,81623,81623,81623,81623,ACIDENTE,-19.58416667,-42.69388889,JAGUARAÇU,MG,BRASIL,***,14,11,NÃO,ATIVA,A-082/CENIPA/2023,NÃO,,0,1,NÃO,5/14/2023 0:00,5,2023,1/1/1900 11:50,2023-05
63,81622,81622,81622,81622,81622,INCIDENTE,-20.42305556,-40.3325,VILA VELHA,ES,BRASIL,SIVU,18,14,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,5/18/2023 0:00,5,2023,1/1/1900 14:02,2023-05
64,81621,81621,81621,81621,81621,INCIDENTE GRAVE,-12.357196,-44.976881,SÃO DESIDÉRIO,BA,BRASIL,SDW6,16,18,SIM,ATIVA,IG-083/CENIPA/2023,NÃO,,0,1,SIM,5/16/2023 0:00,5,2023,1/1/1900 18:00,2023-05
65,81620,81620,81620,81620,81620,INCIDENTE,-6.743333333,-66.93361111,ITAMARATI,AM,BRASIL,***,15,18,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,5/15/2023 0:00,5,2023,1/1/1900 18:02,2023-05
66,81618,81618,81618,81618,81618,INCIDENTE,-23.62611111,-46.65638889,SÃO PAULO,SP,BRASIL,SBSP,14,22,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,5/14/2023 0:00,5,2023,1/1/1900 22:39,2023-05
67,81601,81601,81601,81601,81601,INCIDENTE,-16.6325,-49.22111111,GOIÂNIA,GO,BRASIL,SBGO,15,12,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,5/15/2023 0:00,5,2023,1/1/1900 12:42,2023-05
68,81597,81597,81597,81597,81597,INCIDENTE GRAVE,-17.83277778,-50.95555556,RIO VERDE,GO,BRASIL,SWLC,16,14,SIM,ATIVA,IG-084/CENIPA/2023,NÃO,,0,1,SIM,5/16/2023 0:00,5,2023,1/1/1900 14:00,2023-05
69,81587,81587,81587,81587,81587,INCIDENTE,-15.85111111,-56.08777778,SANTO ANTÔNIO DO LEVERGER,MT,BRASIL,SWLV,16,16,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,5/16/2023 0:00,5,2023,1/1/1900 16:17,2023-05
70,81572,81572,81572,81572,81572,INCIDENTE,-19.07805556,-48.12944444,UBERLÂNDIA,MG,BRASIL,SNHD,11,20,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,5/11/2023 0:00,5,2023,1/1/1900 20:15,2023-05
71,81570,81570,81570,81570,81570,INCIDENTE,-26.8898813,-48.6495828,NAVEGANTES,SC,BRASIL,SBNF,15,12,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,5/15/2023 0:00,5,2023,1/1/1900 12:50,2023-05
72,81565,81565,81565,81565,81565,ACIDENTE,-11.34638889,-52.27138889,SÃO FÉLIX DO ARAGUAIA,MT,BRASIL,***,13,11,SIM,ATIVA,A-081/CENIPA/2023,NÃO,,0,1,NÃO,5/13/2023 0:00,5,2023,1/1/1900 11:30,2023-05
73,81564,81564,81564,81564,81564,INCIDENTE GRAVE,-15.39861111,-54.97972222,CAMPO VERDE,MT,BRASIL,***,13,11,SIM,FINALIZADA,***,NÃO,,0,1,SIM,5/13/2023 0:00,5,2023,1/1/1900 11:50,2023-05
74,81563,81563,81563,81563,81563,INCIDENTE,-23.62611111,-46.65638889,SÃO PAULO,SP,BRASIL,SBSP,14,21,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,5/14/2023 0:00,5,2023,1/1/1900 21:36,2023-05
75,81562,81562,81562,81562,81562,INCIDENTE,-23.50666667,-46.63388889,SÃO PAULO,SP,BRASIL,SBMT,12,20,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,5/12/2023 0:00,5,2023,1/1/1900 20:59,2023-05
76,81561,81561,81561,81561,81561,ACIDENTE,-7.346944444,-46.62472222,RIACHÃO,MA,BRASIL,SNRX,11,13,NÃO,ATIVA,A-080/CENIPA/2023,NÃO,,0,1,NÃO,5/11/2023 0:00,5,2023,1/1/1900 13:14,2023-05
77,81560,81560,81560,81560,81560,ACIDENTE,-3.860833333,-46.09361111,ALTO ALEGRE DO PINDARÉ,MA,BRASIL,***,11,12,SIM,ATIVA,A-079/CENIPA/2023,NÃO,,0,1,NÃO,5/11/2023 0:00,5,2023,1/1/1900 12:45,2023-05
78,81559,81559,81559,81559,81559,INCIDENTE,-1.45056,-48.4682453,BELÉM,PA,BRASIL,SBBE,11,12,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,5/11/2023 0:00,5,2023,1/1/1900 12:40,2023-05
79,81558,81558,81558,81558,81558,INCIDENTE,-22.9110137,-43.2093727,RIO DE JANEIRO,RJ,BRASIL,SBJR,11,19,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,5/11/2023 0:00,5,2023,1/1/1900 19:36,2023-05
80,81557,81557,81557,81557,81557,INCIDENTE,-30.0324999,-51.2303767,PORTO ALEGRE,RS,BRASIL,SBPA,6,14,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,5/6/2023 0:00,5,2023,1/1/1900 14:08,2023-05
81,81556,81556,81556,81556,81556,INCIDENTE,-20.4640173,-54.6162947,CAMPO GRANDE,MS,BRASIL,SSIE,11,15,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,5/11/2023 0:00,5,2023,1/1/1900 15:40,2023-05
82,81553,81553,81553,81553,81553,INCIDENTE,-30.0324999,-51.2303767,PORTO ALEGRE,RS,BRASIL,SBPA,4,12,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,5/4/2023 0:00,5,2023,1/1/1900 12:59,2023-05
83,81552,81552,81552,81552,81552,INCIDENTE GRAVE,-12.9822499,-38.4812772,SALVADOR,BA,BRASIL,SBSV,10,4,SIM,ATIVA,IG-078/CENIPA/2023,NÃO,,0,1,SIM,5/10/2023 0:00,5,2023,1/1/1900 4:35,2023-05
84,81551,81551,81551,81551,81551,ACIDENTE,-27.8165664,-50.325883,LAGES,SC,BRASIL,SBLJ,5,14,NÃO,ATIVA,A-075/CENIPA/2023,NÃO,,0,1,NÃO,5/5/2023 0:00,5,2023,1/1/1900 14:00,2023-05
85,81550,81550,81550,81550,81550,INCIDENTE,-22.92083333,-42.07138889,CABO FRIO,RJ,BRASIL,SBCB,8,10,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,5/8/2023 0:00,5,2023,1/1/1900 10:00,2023-05
86,81549,81549,81549,81549,81549,INCIDENTE,-2.586944444,-44.23361111,SÃO LUÍS,MA,BRASIL,SBSL,26,6,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,4/26/2023 0:00,4,2023,1/1/1900 6:33,2023-04
87,81548,81548,81548,81548,81548,ACIDENTE,2.942777778,-60.91944444,BOA VISTA,RR,BRASIL,***,6,20,SIM,ATIVA,A-076/CENIPA/2023,NÃO,,0,1,NÃO,5/6/2023 0:00,5,2023,1/1/1900 20:30,2023-05
88,81547,81547,81547,81547,81547,INCIDENTE,-23.43555556,-46.47305556,GUARULHOS,SP,BRASIL,SBGR,4,15,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,5/4/2023 0:00,5,2023,1/1/1900 15:12,2023-05
89,81545,81545,81545,81545,81545,INCIDENTE,-21.207992,-50.4390225,ARAÇATUBA,SP,BRASIL,SBAU,8,23,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,5/8/2023 0:00,5,2023,1/1/1900 23:30,2023-05
90,81544,81544,81544,81544,81544,INCIDENTE,-22.9110137,-43.2093727,RIO DE JANEIRO,RJ,BRASIL,SBRJ,4,20,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,5/4/2023 0:00,5,2023,1/1/1900 20:23,2023-05
91,81543,81543,81543,81543,81543,ACIDENTE,-20.42305556,-40.3325,VILA VELHA,ES,BRASIL,SIVU,7,12,SIM,ATIVA,A-077/CENIPA/2023,NÃO,,0,1,NÃO,5/7/2023 0:00,5,2023,1/1/1900 12:10,2023-05
92,81542,81542,81542,81542,81542,INCIDENTE,-22.7392463,-47.3306032,AMERICANA,SP,BRASIL,***,5,19,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,5/5/2023 0:00,5,2023,1/1/1900 19:30,2023-05
93,81541,81541,81541,81541,81541,INCIDENTE,-22.9520235,-46.5418586,BRAGANÇA PAULISTA,SP,BRASIL,SBBP,4,19,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,5/4/2023 0:00,5,2023,1/1/1900 19:09,2023-05
94,81540,81540,81540,81540,81540,ACIDENTE,-22.0180395,-47.891154,SÃO CARLOS,SP,BRASIL,***,3,20,NÃO,ATIVA,A-074/CENIPA/2023,NÃO,,0,1,NÃO,5/3/2023 0:00,5,2023,1/1/1900 20:00,2023-05
95,81539,81539,81539,81539,81539,ACIDENTE,-14.88722222,-53.87138889,SANTO ANTÔNIO DO LESTE,MT,BRASIL,***,29,14,NÃO,ATIVA,A-068/CENIPA/2023,NÃO,,0,1,NÃO,4/29/2023 0:00,4,2023,1/1/1900 14:30,2023-04
96,81538,81538,81538,81538,81538,ACIDENTE,-2.99564,-47.3548942,PARAGOMINAS,PA,BRASIL,***,1,16,NÃO,ATIVA,A-072/CENIPA/2023,NÃO,,0,1,NÃO,5/1/2023 0:00,5,2023,1/1/1900 16:48,2023-05
97,81537,81537,81537,81537,81537,INCIDENTE,-22.3218102,-49.0705863,BAURU,SP,BRASIL,SBBU,30,16,SIM,FINALIZADA,***,NÃO,,0,1,SIM,4/30/2023 0:00,4,2023,1/1/1900 16:20,2023-04
98,81536,81536,81536,81536,81536,ACIDENTE,-22.9520235,-46.5418586,BRAGANÇA PAULISTA,SP,BRASIL,***,30,17,NÃO,ATIVA,A-070/CENIPA/2023,NÃO,,0,1,NÃO,4/30/2023 0:00,4,2023,1/1/1900 17:10,2023-04
99,81531,81531,81531,81531,81531,ACIDENTE,-2.513333333,-44.02444444,SÃO JOSÉ DE RIBAMAR,MA,BRASIL,***,1,16,NÃO,ATIVA,A-073/CENIPA/2023,NÃO,,0,1,NÃO,5/1/2023 0:00,5,2023,1/1/1900 16:40,2023-05
100,81529,81529,81529,81529,81529,ACIDENTE,-12.71527778,-60.20194444,VILHENA,RO,BRASIL,****,30,21,SIM,ATIVA,A-071/CENIPA/2023,NÃO,,0,1,SIM,4/30/2023 0:00,4,2023,1/1/1900 21:00,2023-04
101,81528,81528,81528,81528,81528,INCIDENTE,-15.65,-56.1175,CUIABÁ,MT,BRASIL,SBCY,17,9,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,4/17/2023 0:00,4,2023,1/1/1900 9:41,2023-04
